type, event, jet, pt, mass, eta, phi, charge
2,3,1,15.203,-1.68587e-07,0.529723,3.7385,0
2,3,1,18.9069,0.13957,0.536141,3.68996,1
2,3,1,36.0811,0.49368,0.559512,3.70869,-1
2,3,1,11.9468,1.68587e-07,0.555049,3.7067,0
1,3,1,231.11,36.7368,0.516896,3.73419,-0.114671
2,3,2,2.32021,1.95427e-07,1.57227,0.348593,0
2,3,2,1.7174,0.49368,1.02176,1.00129,-1
2,3,2,1.71523,8.42937e-08,1.52485,0.39686,0
2,3,2,1.42923,0.93957,1.60263,0.810597,0
2,3,2,2.65686,0.93957,0.810943,0.70259,0
2,3,2,1.96325,0.13957,1.49824,0.607381,1
2,3,2,3.05817,0.49368,1.49386,0.576037,1
2,3,2,3.27001,0.13957,0.801074,0.599463,-1
2,3,2,2.38911,5.96046e-08,1.00885,0.279938,0
2,3,2,4.2067,0.93827,0.869483,0.485104,1
2,3,2,3.55994,0.93827,0.989698,0.330213,1
2,3,2,2.32422,0.13957,0.944497,0.372369,-1
2,3,2,2.65401,0.13957,0.877669,0.551274,-1
2,3,2,1.34687,2.10734e-08,1.42057,0.501036,0
2,3,2,1.87757,0.49368,1.40491,0.511731,-1
2,3,2,1.0322,0.13957,1.00727,0.468237,1
2,3,2,4.41944,0.93957,1.08203,0.445095,0
2,3,2,1.60592,2.98023e-08,1.12972,0.432181,0
2,3,2,2.67167,0.13957,1.08423,0.455841,-1
2,3,2,2.446,0.49368,1.02928,0.582838,1
2,3,2,2.42116,0.13957,1.04253,0.710791,-1
2,3,2,1.90271,0,1.08773,0.496999,0
2,3,2,2.67311,6.664e-08,1.07326,0.520719,0
2,3,2,2.38793,9.42432e-08,1.1157,0.488269,0
2,3,2,1.35252,0,1.17655,0.475615,0
2,3,2,3.64255,0.93827,1.36753,0.548335,1
2,3,2,2.50586,0.10566,1.12122,0.686155,1
2,3,2,7.23582,0.13957,1.19786,0.713115,1
2,3,2,2.01631,0.13957,1.15281,0.651862,-1
2,3,2,2.55053,0.49368,1.23239,0.584826,-1
2,3,2,3.96353,0.13957,1.19069,0.653537,-1
2,3,2,18.9803,0.000511,1.22195,0.629833,-1
1,3,2,99.4556,28.1646,1.17776,0.567074,-0.147525
#
0,4,3
2,4,1,1.35112,0.13957,-0.114711,5.76202,1
2,4,1,1.71245,0.93827,0.513817,6.12635,1
2,4,1,1.74223,0,0.39052,6.13742,0
2,4,1,9.906,1.19209e-07,0.3631,6.11998,0
2,4,1,4.58547,0.13957,0.36893,6.06093,1
2,4,1,2.75965,0.93827,0.073806,5.96239,-1
2,4,1,12.3096,0.93827,0.310294,6.08668,1
2,4,1,4.77785,0.13957,0.136984,6.16805,-1
2,4,1,1.93848,0.13957,0.167991,6.1757,1
2,4,1,9.32408,0.13957,0.196143,5.9805,1
2,4,1,1.04283,4.47035e-08,0.219517,5.99021,0
2,4,1,11.0569,0.13957,0.126581,6.03421,-1
2,4,1,3.98967,5.96046e-08,0.122895,6.06939,0
2,4,1,14.6089,0.49368,0.127184,6.07936,1
2,4,1,17.511,0.93957,0.236523,6.06323,0
2,4,1,2.63107,0.13957,0.176829,6.025,-1
2,4,1,2.10189,2.98023e-08,0.158429,6.09955,0
2,4,1,1.36347,-3.332e-08,0.192376,6.04375,0
2,4,1,8.65478,0.13957,0.185632,6.04447,-1
2,4,1,14.657,-2.38419e-07,0.166402,6.05914,0
2,4,1,12.3788,0.13957,0.182462,6.08856,-1
2,4,1,11.4396,0.13957,0.174646,6.07042,1
2,4,1,13.2854,0.13957,0.195092,6.05997,-1
2,4,1,28.7338,6.7435e-07,0.189775,6.07579,0
2,4,1,26.7585,-4.76837e-07,0.190229,6.07095,0
1,4,1,220.428,23.6542,0.20086,6.06711,0.00781937
2,4,2,1.77599,0.13957,0.438343,3.19882,-1
2,4,2,1.17622,-1.49012e-08,0.828828,2.60361,0
2,4,2,1.48166,0.13957,0.437247,3.12773,1
2,4,2,5.71157,0.13957,0.624173,2.74613,-1
2,4,2,1.65325,-6.664e-08,0.565638,2.75256,0
2,4,2,1.53071,-2.98023e-08,0.59865,2.85269,0
2,4,2,13.4087,0.13957,0.590268,2.86662,1
2,4,2,1.16468,-2.10734e-08,0.529575,2.90086,0
2,4,2,2.69837,-5.96046e-08,0.460009,2.80099,0
2,4,2,1.288,0.13957,0.506357,2.88074,-1
2,4,2,3.24377,4.21468e-08,0.502583,2.7846,0
2,4,2,16.4234,0.13957,0.536639,2.85309,1
2,4,2,16.0675,0.13957,0.532602,2.8483,-1
2,4,2,3.56308,0.13957,0.534821,2.84247,1
2,4,2,40.8896,0.49368,0.531012,2.83514,-1
2,4,2,3.92577,-5.96046e-08,0.538251,2.83832,0
2,4,2,9.38731,0.13957,0.508545,2.82579,1
2,4,2,18.7915,0.13957,0.510389,2.80241,1
2,4,2,3.06248,5.96046e-08,0.519264,2.82518,0
2,4,2,34.9039,0.13957,0.528234,2.81633,-1
2,4,2,33.1848,0.13957,0.523264,2.8122,-1
1,4,2,215.05,13.9088,0.533789,2.82987,-0.328635
2,4,3,2.86629,0.49761,0.774394,3.66053,0
2,4,3,5.14455,0.13957,0.744038,3.62655,1
2,4,3,1.23372,0.13957,0.442367,3.41612,-1
2,4,3,3.26999,0.49761,0.455584,3.82381,0
2,4,3,1.00269,2.10734e-08,0.468486,3.72929,0
2,4,3,1.04405,0.13957,0.441493,3.74215,-1
2,4,3,1.71357,2.98023e-08,0.417742,3.70007,0
2,4,3,2.49524,0.13957,0.36496,3.62691,1
2,4,3,2.0762,2.98023e-08,0.352232,3.67129,0
1,4,3,20.7556,4.54015,0.555093,3.67106,0.257217
#
0,5,6
2,5,1,2.28236,0.13957,0.99052,5.40946,1
2,5,1,7.42207,0.93957,1.14036,5.84077,0
2,5,1,2.10857,0.13957,1.17669,5.8346,1
2,5,1,5.51107,0.93827,1.2027,5.81705,-1
2,5,1,1.31893,4.71216e-08,0.980282,5.58609,0
2,5,1,3.04131,0.13957,1.36138,5.52323,-1
2,5,1,1.91735,4.71216e-08,1.06403,5.57239,0
2,5,1,18.3818,0.93957,1.23127,5.66002,0
2,5,1,2.40516,4.21468e-08,1.11229,5.58409,0
2,5,1,10.6657,-2.38419e-07,1.13692,5.54011,0
2,5,1,9.53364,3.95372e-07,1.13731,5.5711,0
