type, event, jet, pt, mass, eta, phi, charge
1,7,1,211.158,49.506,0.114607,3.83008,0.23809
2,7,2,35.9297,1.50789e-06,-0.0597492,0.754083,0
2,7,2,46.2294,1.78416e-06,-0.0600879,0.750789,0
2,7,2,10.2875,-5.59141e-07,-0.0558244,0.765908,0
2,7,2,39.5511,-2.28683e-06,-0.0495115,0.763688,0
2,7,2,6.32296,0.13957,-0.0586395,0.989421,-1
2,7,2,8.87139,0.13957,0.062322,0.947602,1
2,7,2,5.58193,-5.96046e-08,-0.00872721,0.954237,0
2,7,2,4.66198,0,-0.0154733,0.979824,0
2,7,2,23.6599,0.13957,0.0150736,1.00055,1
2,7,2,6.37442,0.13957,0.0404731,0.982011,-1
1,7,2,186.465,20.6198,-0.0363799,0.823298,0.105798
#
0,8,4
2,8,1,1.77436,0.13957,-0.76745,0.961619,-1
2,8,1,3.89241,0.13957,-0.759286,1.08469,1
2,8,1,1.02633,1.49012e-08,-0.746636,1.08805,0
2,8,1,4.94323,0.13957,-0.740824,1.07114,-1
2,8,1,2.79121,-5.16191e-08,-0.698271,1.15146,0
2,8,1,1.74685,0.13957,-0.104691,1.07058,1
2,8,1,487.694,0.13957,-0.336786,1.09154,-1
2,8,1,269.793,0.13957,-0.334519,1.09019,1
1,8,1,773.64,44.3115,-0.343744,1.09077,-0.283043
2,8,2,1.24665,1.49012e-08,-0.834621,4.10895,0
2,8,2,1.4229,0,-1.01407,4.47136,0
2,8,2,1.1914,0.13957,-0.575944,4.22873,-1
2,8,2,1.7706,0.13957,-0.961602,4.36506,1
2,8,2,3.78826,0.13957,-0.491315,4.32889,1
2,8,2,2.51198,0.13957,-0.912881,4.56877,-1
2,8,2,3.72677,-7.30005e-08,-0.530032,4.38579,0
2,8,2,4.62222,0.13957,-0.819384,4.34355,-1
2,8,2,1.92537,-3.65002e-08,-0.576758,4.61942,0
2,8,2,1.49966,-4.21468e-08,-0.583573,4.4056,0
2,8,2,3.56843,0.13957,-0.562067,4.55971,-1
2,8,2,9.94754,0.13957,-0.715611,4.3734,1
2,8,2,3.7558,0.13957,-0.580477,4.46834,-1
2,8,2,1.22717,0.13957,-0.609535,4.60589,1
2,8,2,8.26162,0.13957,-0.576404,4.50963,-1
2,8,2,2.85009,0.13957,-0.831191,4.5194,1
2,8,2,2.49044,4.21468e-08,-0.731102,4.40737,0
2,8,2,2.84884,0,-0.631062,4.60013,0
2,8,2,1.20148,0.13957,-0.655976,4.59418,-1
2,8,2,5.01228,0.13957,-0.628065,4.56607,1
2,8,2,4.68947,0.13957,-0.754606,4.4715,-1
2,8,2,3.33475,0.13957,-0.747635,4.47358,1
2,8,2,32.9816,0.13957,-0.740768,4.48768,1
2,8,2,9.33763,0.49368,-0.703127,4.47218,1
2,8,2,10.9088,1.68587e-07,-0.73333,4.49395,0
2,8,2,5.82495,1.68587e-07,-0.671205,4.54576,0
2,8,2,14.7508,0.13957,-0.679304,4.50287,-1
2,8,2,7.5016,0.13957,-0.689485,4.50837,-1
2,8,2,21.9772,0.13957,-0.709176,4.50485,1
2,8,2,7.42446,-4.29815e-07,-0.708803,4.5096,0
2,8,2,33.3607,0.49368,-0.704135,4.51316,1
2,8,2,59.8232,0.49761,-0.705613,4.52119,0
2,8,2,123.969,0.13957,-0.700016,4.52764,-1
2,8,2,41.5117,9.53674e-07,-0.702716,4.53,0
1,8,2,441.723,33.2998,-0.702884,4.50673,-0.114041
2,8,3,2.68358,0.13957,0.44136,4.02242,-1
2,8,3,3.63154,0.13957,0.148695,3.93154,1
2,8,3,67.6405,9.53674e-07,0.280119,3.97712,0
2,8,3,275.387,-5.3948e-06,0.2811,3.977,0
1,8,3,349.336,7.43606,0.280823,3.9769,0.00271354
2,8,4,1.07471,0.13957,1.68859,2.92201,1
2,8,4,2.27401,0.13957,1.56932,3.08428,1
2,8,4,1.41003,0.13957,1.40673,2.55694,-1
2,8,4,2.53785,0.49368,1.47637,2.71042,-1
2,8,4,3.13757,0.13957,1.46194,2.70311,1
2,8,4,4.10758,0.13957,1.15522,2.68978,-1
2,8,4,2.41279,8.9407e-08,1.36754,3.05249,0
2,8,4,1.85606,3.65002e-08,1.14655,2.91082,0
2,8,4,1.14461,0.13957,1.18527,3.0225,-1
2,8,4,1.00676,3.332e-08,1.32541,2.97928,0
2,8,4,1.72662,0.13957,1.25368,2.95003,1
2,8,4,1.59122,3.65002e-08,1.2288,2.93419,0
1,8,4,23.9513,5.9212,1.36945,2.84836,-0.0406577
#
0,9,3
2,9,1,3.42815,0.13957,-1.17822,3.7262,1
2,9,1,3.03052,0.13957,-1.46636,3.79781,-1
2,9,1,2.52973,5.16191e-08,-1.31808,3.83223,0
2,9,1,152.789,0.49368,-1.33468,3.77714,1
2,9,1,129.988,0.49368,-1.33511,3.77801,-1
1,9,1,291.756,7.06276,-1.33449,3.77762,0.0795106
2,9,2,2.28834,2.98023e-08,0.188708,0.384496,0
2,9,2,2.62098,5.16191e-08,0.135681,0.399504,0
2,9,2,1.6484,0.13957,-0.105657,0.441445,1
2,9,2,8.69877,0.49368,0.00641898,0.389967,1
2,9,2,6.20669,0.49368,0.0581454,0.360423,-1
2,9,2,1.67266,0.13957,-0.261569,0.356012,1
2,9,2,1.64197,0.13957,0.132811,0.250058,1
2,9,2,3.58947,0.49368,0.25237,6.16435,1
2,9,2,1.97282,0.49368,0.214026,0.122444,-1
2,9,2,1.86834,4.21468e-08,-0.238932,0.259304,0
2,9,2,4.88122,0.49368,-0.0849492,0.244405,1
2,9,2,7.60479,0.93957,0.17872,6.27971,0
2,9,2,1.08872,0,0.0760421,0.107928,0
2,9,2,3.13526,-5.96046e-08,-0.00597681,0.191551,0
2,9,2,1.09818,-3.332e-08,-0.051318,0.134662,0
2,9,2,10.0841,0.49368,-0.0336967,0.181844,-1
2,9,2,6.39443,8.42937e-08,-0.0501451,0.1615,0
2,9,2,12.4438,-3.37175e-07,-0.0351014,0.16313,0
2,9,2,3.0866,0.93957,-0.150178,0.164981,0
2,9,2,3.98474,0.13957,-0.29266,0.0288537,1
2,9,2,1.76013,2.10734e-08,0.0346146,0.0196315,0
2,9,2,1.97097,2.10734e-08,-0.116755,5.97051,0
2,9,2,1.79895,2.98023e-08,-0.259445,0.0264247,0
2,9,2,1.55189,0.13957,0.0213469,6.14962,-1
2,9,2,15.0529,0.93957,0.0103712,6.12798,0
2,9,2,7.19552,0.13957,-0.0221797,6.222,-1
2,9,2,7.33568,0.93827,-0.0535275,6.2633,-1
2,9,2,7.63226,0.93957,-0.0801307,6.09161,0
2,9,2,5.16904,0.13957,-0.21856,6.10664,1
2,9,2,6.61338,0,-0.165051,6.25311,0
2,9,2,5.28893,0.13957,-0.195256,6.11428,1
2,9,2,4.84607,0.13957,-0.0949048,6.16857,1
2,9,2,7.6354,0.13957,-0.138097,6.11469,-1
2,9,2,4.00533,0.13957,-0.150714,6.123,-1
2,9,2,12.6922,0.13957,-0.20671,6.18654,1
2,9,2,3.26385,0.13957,-0.113558,6.17465,-1
2,9,2,4.79741,0.13957,-0.136294,6.21315,-1
2,9,2,4.27426,-5.96046e-08,-0.177663,6.21348,0
2,9,2,7.50623,-1.46001e-07,-0.154136,6.20969,0
2,9,2,19.5608,0.93827,-0.145212,6.1765,1
2,9,2,5.92742,0.13957,-0.168499,6.15,1
2,9,2,40.3531,0.13957,-0.164913,6.16849,-1
